음식점ID,인허가일자,소재지면적,음식점명
3140000-101-2023-00099,2023-04-05,161.0,이비가짬뽕 서울신월점
3140000-101-2023-00101,2023-04-06,64.79,카페로드
3140000-101-2023-00102,2023-04-06,58.93,춘리마라탕
3140000-101-2023-00103,2023-04-07,59.4,임세츨링39
3140000-101-2023-00104,2023-04-07,115.0,써니2 7090
3140000-101-2023-00106,2023-04-12,44.44,홍달막창
3140000-101-2023-00107,2023-04-12,74.9,청수옥
3140000-101-2023-00108,2023-04-12,33.32,동네커피집
3140000-101-2023-00109,2023-04-13,48.48,고트피자
3140000-101-2023-00110,2023-04-13,162.44,스페이스 코르 목동점
3140000-101-2023-00111,2023-04-17,42.0,더 온(The 蘊)
3140000-101-2023-00112,2023-04-17,67.94,라파일라
3140000-101-2023-00113,2023-04-17,26.44,다온분식
3140000-101-2023-00115,2023-04-17,29.0,삼양한식뷔페
3140000-101-2023-00116,2023-04-17,70.63,금별맥주 오목교점
3140000-101-2023-00118,2023-04-18,133.44,바른식당 투
3140000-101-2023-00120,2023-04-18,12.0,참잘비빔
3140000-101-2023-00121,2023-04-18,34.38,강여사 김치찜
3140000-101-2023-00122,2023-04-18,34.38,청춘 김치찌개
3140000-101-2023-00125,2023-04-20,142.95,마장동김씨
3140000-101-2023-00126,2023-04-21,23.1,족성재
3140000-101-2023-00128,2023-04-25,26.4,풍년집
3140000-101-2023-00130,2023-04-28,28.0,타코다
3140000-101-2023-00131,2023-04-28,18.22,워낭소리 고기굼터
3140000-101-2023-00132,2023-04-28,29.0,피제이피자 목동점
3140000-101-2023-00133,2023-04-28,33.0,유정돈카츠
3140000-101-2023-00134,2023-05-01,55.9,짜장면
3140000-101-2023-00135,2023-05-01,191.7,황해수육
3140000-101-2023-00138,2023-05-02,48.3,카츠89
3140000-101-2023-00140,2023-05-09,26.55,드림포차
3140000-101-2023-00142,2023-05-11,55.0,쉘터버거
3140000-101-2023-00143,2023-05-15,74.24,모모
3140000-101-2023-00145,2023-05-15,88.77,어린이 식당
3140000-101-2023-00146,2023-05-15,31.35,나이스크림(Nicecream)
3140000-101-2023-00147,2023-05-16,26.0,영이분식
3140000-101-2023-00149,2023-05-16,14.19,낭만닭곱새
3140000-101-2023-00150,2023-05-16,10.0,충무수산
3140000-101-2023-00151,2023-05-18,67.14,SOOT숯
3140000-101-2023-00152,2023-05-19,32.39,바다왕국 신월점
3140000-101-2023-00153,2023-05-22,46.0,골라먹는닭
3140000-101-2023-00154,2023-05-23,47.0,노리카페
3140000-101-2023-00155,2023-05-24,32.0,카페슬슬
3140000-101-2023-00157,2023-05-25,118.79,koi 홀덤펍
3140000-101-2023-00159,2023-05-26,233.49,본말감자탕 신정네거리역점
3140000-101-2023-00160,2023-05-30,55.44,오목식당
3140000-101-2023-00161,2023-05-31,82.5,동네고깃집
3140000-101-2023-00165,2023-06-01,37.0,오공김밥
3140000-101-2023-00166,2023-06-01,30.0,킴보(KIMBO)
3140000-101-2023-00167,2023-06-02,79.92,해월손만두
3140000-101-2023-00168,2023-06-02,43.6,몽땅
3140000-101-2023-00169,2023-06-02,40.94,쎄시봉불닭
3140000-101-2023-00170,2023-06-02,40.0,JS푸드
3140000-101-2023-00171,2023-06-05,33.0,허니호프
3140000-101-2023-00172,2023-06-07,99.08,장수각
3140000-101-2023-00174,2023-06-09,124.56,상록회관 연탄구이 목동점
3140000-101-2023-00175,2023-06-12,66.22,한신우동 목동점
3140000-101-2023-00176,2023-06-14,105.35,뭉텅 등촌점
3140000-101-2023-00177,2023-06-14,87.26,일상밥상
3140000-101-2023-00178,2023-06-15,25.0,샐러드박스 염창역점
3140000-101-2023-00179,2023-06-15,103.32,유가네한우곰탕
3140000-101-2023-00180,2023-06-16,75.42,카페인더우드
3140000-101-2023-00181,2023-06-16,95.0,홀덤스쿨
3140000-101-2023-00182,2023-06-19,50.22,모모유부 목동
3140000-101-2023-00184,2023-06-19,46.44,혜리네
3140000-101-2023-00185,2023-06-19,39.8,리얼그릴스테이크220도 목동점
3140000-101-2023-00186,2023-06-20,30.0,짠비어
3140000-101-2023-00188,2023-06-22,97.0,이화마라
3140000-101-2023-00189,2023-06-22,28.12,마루
3140000-101-2023-00193,2023-06-27,63.78,노가리천국
3140000-101-2023-00194,2023-06-27,40.0,오늘의밀
3140000-101-2023-00198,2023-07-03,32.3,후라이드참잘하는집
3140000-101-2023-00200,2023-07-05,103.14,진리
3140000-101-2023-00202,2023-07-06,81.28,팔공뭉티기
3140000-101-2023-00203,2023-07-06,21.0,소년마라
3140000-101-2023-00204,2023-07-06,194.4,황금오리농장
3140000-101-2023-00207,2023-07-07,24.5,카페 이퀄(Cafe Equal)
3140000-101-2023-00209,2023-07-12,96.66,네발로오시개
3140000-101-2023-00210,2023-07-12,39.14,오구연어
3140000-101-2023-00211,2023-07-13,50.0,콘야
3140000-101-2023-00213,2023-07-17,27.27,목동연어
3140000-101-2023-00215,2023-07-18,46.46,로니스피자
3140000-101-2023-00216,2023-07-18,33.0,포차플러스
3140000-101-2023-00217,2023-07-18,125.0,라홍방마라탕 신정이펜하우스점
3140000-101-2023-00218,2023-07-19,85.63,노모어피자(no more pizza) 목동점
3140000-101-2023-00221,2023-07-27,33.6,후라이드의품격
3140000-101-2023-00222,2023-07-28,17.5,수북국밥
3140000-101-2023-00223,2023-08-04,42.75,그늘집
3140000-101-2023-00224,2023-08-07,19.83,왕푸징마라탕
3140000-101-2023-00226,2023-08-07,37.8,본죽&비빔밥 이대목동점
3140000-101-2023-00227,2023-08-10,22.11,참홍어무침&보쌈 신정뉴타운점
3140000-101-2023-00228,2023-08-11,96.0,점심밥상저녁술상
3140000-101-2023-00229,2023-08-11,52.06,도깨비뜨물
3140000-101-2023-00230,2023-08-11,87.15,오아시스호프
3140000-101-2023-00232,2023-08-16,48.0,닥엔돈스 화곡점
3140000-101-2023-00233,2023-08-18,3.74,목동점 그늘집
3140000-101-2023-00234,2023-08-18,60.0,개를위한하루
3140000-101-2023-00236,2023-08-23,26.5,잔:소리
3140000-101-2023-00237,2023-08-23,74.93,위스키파크(Whiskey Park)
3140000-101-2023-00238,2023-08-24,53.28,커피하오
3140000-101-2023-00243,2023-08-30,50.0,홍익한식당
3140000-101-2023-00244,2023-08-30,34.58,아방이네옛날통닭 신정점
3140000-101-2023-00245,2023-08-31,69.38,춘향전포차
3140000-101-2023-00249,2023-09-01,68.52,한사리감자탕&뼈구이 오목교점
3140000-101-2023-00250,2023-09-01,97.0,"커피집,이공"
3140000-101-2023-00254,2023-09-05,50.69,한결치킨
