음식점ID,인허가일자,소재지면적,음식점명
3230000-101-1988-16907,1988-10-07,67.64,태양곱창
3230000-101-1989-05908,1989-10-07,18.0,치킨타운
3230000-101-1989-06503,1989-05-04,41.32,해림스넥
3230000-101-1989-06532,1989-05-06,27.3,성전
3230000-101-1989-06533,1989-05-04,30.0,북경
3230000-101-1989-06677,1989-07-10,31.2,찬
3230000-101-1989-06840,1994-04-26,54.6,청기와
3230000-101-1989-07072,1994-01-19,60.9,돌마리
3230000-101-1989-08038,1994-01-22,218.07,미락 수산
3230000-101-1989-09012,1989-03-09,138.24,가락관광호텔레스토랑
3230000-101-1989-09853,1993-11-06,73.71,파랑새식당
3230000-101-1989-10246,1989-12-14,45.5,동보성
3230000-101-1989-12157,1989-05-26,53.55,청진동해장국 문정역점
3230000-101-1989-12247,1989-02-14,123.37,유명식당
3230000-101-1989-12249,1989-02-14,97.0,장원식당
3230000-101-1989-12257,1989-08-26,38.0,오금골
3230000-101-1989-12269,1989-02-14,375.26,유한회사 정동
3230000-101-1989-12544,1989-02-13,118.35,할아버지분식
3230000-101-1989-12547,1989-05-19,23.22,춘천닭갈비
3230000-101-1989-12843,1997-12-01,64.76,송파해물탕
3230000-101-1989-12879,1989-07-14,67.92,가락골마산아구찜
3230000-101-1989-12885,1989-02-17,84.19,공원원조집
3230000-101-1989-12941,1989-08-16,106.02,김태완스시 송파본점
3230000-101-1989-12977,1989-10-26,124.14,착한 명태
3230000-101-1989-12978,1989-11-27,28.0,명동칼국수
3230000-101-1989-13018,1989-08-24,58.42,닥터 플라토
3230000-101-1989-13047,1989-11-03,20.25,초시꽁보리밥
3230000-101-1989-13048,1989-09-11,21.0,다랑
3230000-101-1989-13131,1989-09-09,45.5,갯마을식당
3230000-101-1989-13286,1994-05-23,66.14,송파대박집
3230000-101-1989-13390,1994-04-16,21.28,용과 서울
3230000-101-1989-13723,1993-12-23,94.23,어부네 코다리조림 오금점
3230000-101-1989-15426,1989-02-14,82.54,에이지에스푸드
3230000-101-1989-15640,1989-10-21,116.0,소백산
3230000-101-1989-15641,1989-04-14,37.7,모퉁이 직화구이
3230000-101-1990-05414,1990-01-18,19.31,구내분식
3230000-101-1990-05484,1990-08-30,21.47,처음처럼
3230000-101-1990-05605,1990-09-06,24.48,연가
3230000-101-1990-05698,1990-04-03,28.35,페리카나 풍납동점
3230000-101-1990-05909,1990-11-30,23.04,대박
3230000-101-1990-05983,1990-10-17,181.82,미카도스시 잠실새내역점
3230000-101-1990-06012,1990-03-09,105.5,표현식당 방이점
3230000-101-1990-06101,1990-01-04,30.4,다조아분식
3230000-101-1990-06328,1990-10-18,97.38,푸주옥
3230000-101-1990-06496,1990-10-26,95.0,도미노피자오금점
3230000-101-1990-06562,1990-07-14,26.6,돈까스 집
3230000-101-1990-06564,1990-02-01,21.84,페리카나치킨
3230000-101-1990-07287,1999-07-31,337.0,유천냉면
3230000-101-1990-07965,1990-08-21,65.52,한성양꼬치
3230000-101-1990-09466,1990-05-09,292.77,시선(방이점) & 주신당(방이점)
3230000-101-1990-10220,1990-03-20,28.5,만리장
3230000-101-1990-11972,1990-11-28,26.88,국민식당
3230000-101-1990-11974,1990-12-22,39.6,김리식당
3230000-101-1990-12176,1990-08-23,98.67,술노리아
3230000-101-1990-12304,1990-12-28,74.65,신서방 부대찌개
3230000-101-1990-12421,1990-03-03,70.0,완미족발
3230000-101-1990-12556,1990-05-19,50.8,돌마리 영양탕
3230000-101-1990-12930,1990-12-28,131.15,미크플로
3230000-101-1990-13203,1990-10-16,99.09,잠실고박사
3230000-101-1990-13235,1990-06-15,132.0,재근막국수
3230000-101-1990-13481,1994-03-21,85.23,잊힐리야 잠실새내
3230000-101-1990-13529,1994-03-12,63.12,해도듦제주포크
3230000-101-1990-13788,1993-12-03,31.44,투다리
3230000-101-1990-13910,1993-10-08,86.66,가족반찬
3230000-101-1991-03653,1993-12-17,106.65,피자헛 가락문정점
3230000-101-1991-05580,1991-01-25,24.05,치킨방
3230000-101-1991-05611,1991-06-14,21.7,맥켄치킨
3230000-101-1991-05978,1991-01-10,26.64,장원 칼국수
3230000-101-1991-05980,1991-05-17,29.6,정원 매운찜
3230000-101-1991-06031,1991-06-15,33.0,명가식당
3230000-101-1991-06396,1991-01-09,40.8,페리카나
3230000-101-1991-06410,1991-07-03,27.54,비비큐
3230000-101-1991-06556,1991-12-10,20.55,처갓집양념치킨 삼전점
3230000-101-1991-06603,1991-11-19,252.03,잠실영양센타
3230000-101-1991-07932,1991-03-08,84.64,남도
3230000-101-1991-07966,1991-11-07,64.2,미다이
3230000-101-1991-07973,1991-11-05,65.52,갯벌의 진주
