음식점ID,인허가일자,소재지면적,음식점명
3240000-101-1990-01882,1990-07-04,76.79,이차돌 암사점
3240000-101-1990-02015,1990-11-22,23.52,천호실내포차
3240000-101-1990-02223,1990-12-07,70.78,여수집
3240000-101-1990-02233,1990-05-10,66.16,역전할머니맥주 상일점
3240000-101-1990-02336,1990-11-26,29.7,전원식당
3240000-101-1990-02388,1990-10-19,32.8,바다멸치국수
3240000-101-1990-02389,1990-09-01,98.1,이모네
3240000-101-1990-02391,1990-12-17,16.97,신사소곱창
3240000-101-1990-02454,1990-09-03,67.6,형제기사식당
3240000-101-1990-02475,1990-08-07,66.74,싸리울
3240000-101-1990-02545,1990-03-31,60.03,일품양평해장국
3240000-101-1990-02617,1990-02-10,57.24,영화정해장국
3240000-101-1990-02735,1990-11-09,52.5,가장맛있는족발
3240000-101-1990-02746,1990-08-28,80.0,의정부 부대찌개
3240000-101-1990-02779,1990-02-17,85.14,마포갈비
3240000-101-1990-02781,1990-02-23,78.2,정상회담
3240000-101-1990-02801,1990-08-30,68.53,평상집 강동성내점
3240000-101-1990-02971,1990-01-18,48.2,용호관
3240000-101-1990-02978,1990-06-28,66.0,천호동 술집
3240000-101-1990-03040,1990-04-14,65.6,육만찬
3240000-101-1990-03101,1990-11-30,28.25,전주식당
3240000-101-1990-05932,1990-11-16,46.34,생마차 천호점
3240000-101-1990-08038,1990-12-05,83.0,돈굽다
3240000-101-1990-08499,1990-10-26,39.9,마당치킨
3240000-101-1990-08809,1990-11-22,39.59,정성뚝배기
3240000-101-1990-08871,1990-02-10,30.8,곰탱이국밥집
3240000-101-1990-08987,1990-11-27,109.25,원조숯불쭈꾸미
3240000-101-1990-08996,1990-04-25,78.75,독도앞바다
3240000-101-1990-08999,1990-12-18,60.0,엄지손칼국수
3240000-101-1990-09232,1990-04-27,134.8,정상호당진아구동태찜탕
3240000-101-1990-09960,1990-10-20,36.0,이영희명태찜
3240000-101-1990-09963,1990-05-25,111.93,선사식당
3240000-101-1990-10293,1990-01-19,137.91,부어치킨 둔촌역점
3240000-101-1990-11209,1990-02-20,64.83,화로구이
3240000-101-1990-11210,1990-02-24,95.0,머스 로스터리 카페
