음식점ID,인허가일자,소재지면적,음식점명
3130000-101-1990-01374,1990-06-14,94.44,백년토종삼계탕 별관
3130000-101-1990-01963,1990-11-21,36.73,유키모찌 연남점
3130000-101-1990-02876,1990-11-05,27.24,덮당(堂)
3130000-101-1990-03010,1990-07-27,33.07,블런트(BLUNT)
3130000-101-1990-03418,1990-07-27,89.7,예촌
3130000-101-1990-03697,1990-04-20,28.09,충북통닭
3130000-101-1990-03790,1990-09-06,21.08,멕시칸
3130000-101-1991-00196,1991-12-27,73.46,호남식당
3130000-101-1991-00274,1991-09-14,18.36,동부 숯불갈비
3130000-101-1991-00372,1991-04-24,57.84,호미곶막회물회
3130000-101-1991-00618,1991-11-28,53.64,소문난쭈꾸미마포본점
3130000-101-1991-01018,1991-03-13,30.48,돈동삼겹살
3130000-101-1991-01025,1991-11-30,39.67,풍년식당
3130000-101-1991-01324,1991-08-26,37.75,합정영양탕
3130000-101-1991-01362,1991-01-28,48.72,서교밥집
3130000-101-1991-01559,1991-12-04,151.96,BBQ 홍대입구점
3130000-101-1991-01575,1991-06-05,76.98,홍대제면소
3130000-101-1991-01722,1991-03-07,62.44,보은식당
3130000-101-1991-02016,1991-11-29,130.0,명륜진사갈비 마포성산점
3130000-101-1991-02260,1991-05-28,25.08,신성각
3130000-101-1991-02283,1991-12-28,24.9,돈까스광명
3130000-101-1991-03826,1991-09-06,33.08,레벤호프
3130000-101-1991-03932,1991-04-19,54.28,지중해참치
3130000-101-1991-03991,1991-11-25,14.5,호남식당
3130000-101-1991-04565,1991-01-21,35.63,신주양꼬치
3130000-101-1991-04957,1991-04-25,23.71,페리카나치킨
3130000-101-1991-05319,1991-09-13,20.0,지희네양념통닭
3130000-101-1991-07191,1991-02-11,167.85,라로사
3130000-101-1992-00247,1992-08-13,24.2,원당 감자탕
3130000-101-1992-00378,1992-07-24,52.06,무공해숯불갈비
3130000-101-1992-00379,1992-08-17,41.76,영광식당
3130000-101-1992-00380,1992-08-17,47.25,해물기와
3130000-101-1992-00381,1992-08-17,19.35,전주뼈다귀해장국
3130000-101-1992-00388,1992-08-17,21.53,마포식당
3130000-101-1992-00575,1992-02-12,132.65,서울큰입탕
