음식점ID,인허가일자,소재지면적,음식점명
3190000-101-1990-06735,1990-09-18,42.0,독도참치
3190000-101-1991-00032,1991-10-12,118.06,삼삼가마솥돈까스
3190000-101-1991-00044,1991-08-06,18.6,고바우
3190000-101-1991-00294,1991-10-04,39.56,소쿠리&돌박집
3190000-101-1991-00311,1991-01-14,88.66,일진아구찜
3190000-101-1991-00396,1991-06-11,38.75,차돌이
3190000-101-1991-00410,1991-04-23,62.12,가야
3190000-101-1991-00441,1991-11-16,34.64,탕마루
3190000-101-1991-00444,1991-03-27,38.3,두리김밥
3190000-101-1991-00475,1991-08-08,29.24,러브이즈
3190000-101-1991-03574,1991-12-10,33.62,써브웨이중앙대점
3190000-101-1991-03606,1991-05-01,20.04,프린스치킨
3190000-101-1991-03688,1991-01-26,27.01,금강식당
3190000-101-1991-03746,1991-06-25,59.96,할매 순대국
3190000-101-1991-03839,1991-02-27,21.6,스카이피자
3190000-101-1991-04217,1993-09-14,25.95,페리카나
3190000-101-1991-04396,1991-11-30,35.03,큰손 갈비
3190000-101-1991-04399,1991-08-13,40.75,섬마을일식식당
3190000-101-1991-05203,1991-01-15,44.23,하브(HAV)
3190000-101-1991-05268,1991-11-01,113.0,상도로3가
3190000-101-1991-06656,1991-05-22,24.2,남원골 추어탕
3190000-101-1991-06680,1991-03-18,53.45,푸라닭 노량진점
3190000-101-1991-06802,1991-07-12,20.96,포대포소금구이
3190000-101-1992-00066,1992-11-20,64.83,사당돈
3190000-101-1992-00087,1992-11-12,15.51,고바우식당
3190000-101-1992-00100,1992-08-20,556.44,대방싸리집
3190000-101-1992-00124,1992-08-12,121.88,옥문
3190000-101-1992-00224,1992-03-10,75.9,서일순대국
3190000-101-1992-00244,1992-10-27,43.53,달리는커피(노량진점)
3190000-101-1992-00313,1992-01-06,110.67,다독이네 숯불구이 2호점
3190000-101-1992-00323,1992-01-14,120.0,다성반점
3190000-101-1992-00353,1992-09-24,13.2,박서방네
3190000-101-1992-00376,1992-04-17,90.42,상도동솥뚜껑 숭실대점
3190000-101-1992-00386,1992-05-01,102.91,상도정
3190000-101-1992-00666,1993-11-02,96.0,노들가
3190000-101-1992-00669,1993-10-11,108.81,돌쇠와석쇠
3190000-101-1992-03479,1992-11-03,38.1,엄마손김밥
3190000-101-1992-03619,1992-12-29,22.11,방배양곱창
3190000-101-1992-03620,1992-06-03,27.72,장수식당
3190000-101-1992-03639,1992-07-03,15.52,우리집
3190000-101-1992-03777,1992-12-29,30.78,백채사당점
3190000-101-1992-03791,1992-01-13,13.54,페리카나치킨
3190000-101-1992-03807,1992-07-04,17.84,신박사팥죽
3190000-101-1992-03842,1992-03-13,81.19,맥주창고 오라고 노량진점
3190000-101-1992-03852,1992-12-08,26.13,삐삐네분식
3190000-101-1992-03923,1992-05-26,49.5,처갓집양념치킨 대방점
3190000-101-1992-04213,1992-06-01,153.36,명륜진사갈비 상도점
3190000-101-1992-04285,1992-12-16,67.61,크레이지 팜(Crazy Farm)
3190000-101-1992-04386,1992-09-21,51.83,육태기
3190000-101-1992-04390,1992-10-19,119.47,전망 좋은집
3190000-101-1992-05032,1992-04-29,23.36,콤떡(성대시장점)
3190000-101-1992-05180,1992-01-13,57.84,28청춘호프포차
3190000-101-1992-05213,1992-02-06,113.35,블루힐
3190000-101-1992-05431,1992-05-27,92.27,천년약속
3190000-101-1992-06730,1992-06-29,86.46,연정 순대국
3190000-101-1992-06734,1992-10-07,22.95,은주식당
3190000-101-1992-06767,1992-05-02,24.8,홍천닭갈비
3190000-101-1992-06812,1992-12-16,51.99,수연갈비
3190000-101-1992-06886,1992-04-17,23.6,카페온니
3190000-101-1992-07014,1992-02-12,28.35,올드팬
3190000-101-1992-07031,1992-06-26,48.66,향원칼국수
3190000-101-1993-00037,1993-06-29,29.28,정연객주
