음식점ID,인허가일자,소재지면적,음식점명
3160000-101-2017-00170,2017-06-01,27.19,맘씨
3160000-101-2017-00171,2017-06-05,50.0,우차돌
3160000-101-2017-00179,2017-06-14,12.63,몽실이네
3160000-101-2017-00186,2017-06-20,50.0,댄싱컵 신도림점
3160000-101-2017-00189,2017-06-22,14.0,연어처럼
3160000-101-2017-00190,2017-06-23,79.0,아지트(아구듬뿍알곤마니)
3160000-101-2017-00192,2017-06-27,26.0,브론즈
3160000-101-2017-00194,2017-06-27,42.0,밥한술한잔
3160000-101-2017-00195,2017-06-28,31.34,스테이플버거
3160000-101-2017-00197,2017-07-03,24.38,낮칼밤술
3160000-101-2017-00198,2017-07-04,194.76,길미림
3160000-101-2017-00200,2017-07-06,31.34,파전이랑 막걸리랑
3160000-101-2017-00202,2017-07-06,29.75,짱 커피호프
3160000-101-2017-00203,2017-07-07,15.91,먹깨비김밥만두
3160000-101-2017-00205,2017-07-11,20.23,소풍 닭강정
3160000-101-2017-00206,2017-07-11,39.6,불닭발땡초동대문엽기떡볶이 고척점
3160000-101-2017-00207,2017-07-13,134.6,돈다우
3160000-101-2017-00208,2017-07-14,12.0,이가네 소곱창
3160000-101-2017-00211,2017-07-19,45.0,닭한마리 칼국수 5호점
3160000-101-2017-00212,2017-07-20,102.48,콩심 오류동역점
3160000-101-2017-00214,2017-07-21,235.6,육향 참숯구이
3160000-101-2017-00219,2017-07-25,151.41,진심갈비
3160000-101-2017-00223,2017-07-27,66.7,회 한접시
3160000-101-2017-00225,2017-07-28,50.96,미래회센타
3160000-101-2017-00226,2017-08-01,28.0,진도맛집
3160000-101-2017-00227,2017-08-01,91.74,봉할매 김치찌개 불백 전문점
3160000-101-2017-00232,2017-08-07,13.2,팔팔실내포차
3160000-101-2017-00234,2017-08-09,102.81,오! 대박양꼬치
3160000-101-2017-00235,2017-08-11,47.65,낭만스시
3160000-101-2017-00239,2017-08-17,79.67,어부만복 구로점
3160000-101-2017-00246,2017-08-24,26.72,삼삼칼국수
3160000-101-2017-00251,2017-08-25,49.65,옛날그맛마라양꼬치
3160000-101-2017-00263,2017-09-04,13.05,비비큐 2호점
3160000-101-2017-00264,2017-09-04,10.35,스테프핫도그 2호
3160000-101-2017-00265,2017-09-04,10.35,탐앤탐스 3호점
3160000-101-2017-00266,2017-09-04,13.05,마왕족발
3160000-101-2017-00270,2017-09-05,67.1,생마차
3160000-101-2017-00276,2017-09-08,43.31,청도맛집
3160000-101-2017-00277,2017-09-08,345.78,닥터로빈 고척점
3160000-101-2017-00284,2017-09-12,79.56,THAIDOO(타이두)
3160000-101-2017-00298,2017-09-14,12.57,구로시장 대왕피자
3160000-101-2017-00300,2017-09-15,23.4,꼬꼬스토리 신도림
3160000-101-2017-00305,2017-09-20,38.0,본도시락 구로역점
3160000-101-2017-00307,2017-09-21,126.72,공간장어
3160000-101-2017-00310,2017-09-22,45.0,토토김밥
3160000-101-2017-00313,2017-09-25,124.4,라마다서울신도림호텔 카페
3160000-101-2017-00314,2017-09-25,1742.0,라마다 서울 신도림 호텔 4층 딜라이트 레스토랑
3160000-101-2017-00315,2017-09-25,370.0,라마다 서울 신도림 호텔 5층
3160000-101-2017-00316,2017-09-25,1742.0,라마다 서울 신도림 호텔6층
3160000-101-2017-00317,2017-09-25,723.0,라마다 서울 신도림 호텔7층
3160000-101-2017-00318,2017-09-25,1724.0,라마다 서울 신도림호텔 13층 비스타 레스토랑
3160000-101-2017-00319,2017-09-27,21.0,금영커피호프
3160000-101-2017-00321,2017-09-28,77.6,오동
3160000-101-2017-00323,2017-09-29,51.44,짬뽕상회 신도림점
3160000-101-2017-00324,2017-09-29,26.5,오무냐미
3160000-101-2017-00330,2017-10-16,116.95,오(O)
3160000-101-2017-00338,2017-10-24,107.73,시따따손수타면
3160000-101-2017-00343,2017-10-27,45.5,진순대국
3160000-101-2017-00346,2017-10-30,75.0,초원양꼬치
3160000-101-2017-00348,2017-11-01,277.27,자연푸드
3160000-101-2017-00352,2017-11-06,64.47,맛짱 양꼬치
3160000-101-2017-00353,2017-11-06,70.0,더 든든
3160000-101-2017-00356,2017-11-10,189.93,따수온
3160000-101-2017-00362,2017-11-14,100.5,중화요리현
3160000-101-2017-00363,2017-11-15,274.28,소담촌 구로역점
3160000-101-2017-00364,2017-11-15,40.0,대선식당
3160000-101-2017-00370,2017-11-20,96.99,광부맥주 신도림점 제4광구
3160000-101-2017-00371,2017-11-22,68.12,야보쿠시앤이자카야
3160000-101-2017-00372,2017-11-23,105.12,레코드피자 고척점
3160000-101-2017-00373,2017-11-23,142.05,향원호프
3160000-101-2017-00377,2017-11-29,71.54,김사부
3160000-101-2017-00380,2017-11-30,59.4,응급실국물떡볶이 서울고척점
3160000-101-2017-00381,2017-11-30,15.0,한그릇
3160000-101-2017-00382,2017-12-01,25.0,바른푸드
3160000-101-2017-00383,2017-12-01,45.52,호수호프
3160000-101-2017-00385,2017-12-07,8.26,맛있는집
3160000-101-2017-00392,2017-12-15,32.88,초비
3160000-101-2017-00394,2017-12-18,71.54,료혼 이찌방관
3160000-101-2017-00396,2017-12-18,120.44,룡정양꼬치
3160000-101-2017-00399,2017-12-18,23.43,수제비포차
