음식점ID,인허가일자,소재지면적,음식점명
3220000-101-1986-15607,1986-03-24,39.3,광주식당
3220000-101-1986-15866,1986-11-19,53.67,박서방순대국밥
3220000-101-1986-15870,1986-02-24,110.0,수궁갈비집
3220000-101-1986-16383,1986-10-07,20.13,테헤란식당
3220000-101-1986-16388,1986-11-04,206.49,사랑방
3220000-101-1986-16424,1986-03-10,1218.34,(주)신정
3220000-101-1986-16616,1986-12-09,29.25,88선수촌
3220000-101-1986-16806,1986-10-10,72.6,별미식당
3220000-101-1986-17061,1986-05-21,124.84,남서울민물장어
3220000-101-1986-17673,1986-12-08,65.12,황토 감자탕
3220000-101-1986-17787,1986-08-08,40.08,은마골
3220000-101-1986-17998,1986-04-12,152.18,청담순두부두부공방
3220000-101-1986-18382,1986-03-07,100.32,푸세울 닭
3220000-101-1986-19340,1986-07-18,107.83,김참치
3220000-101-1986-20073,1986-09-24,148.5,일편등심
3220000-101-1986-20387,1986-06-19,82.59,마인드
3220000-101-1986-20916,1986-05-06,54.52,비와별닭갈비 논현점
3220000-101-1987-00341,1987-12-07,173.0,신양
3220000-101-1987-06253,1987-09-24,36.66,한솥
3220000-101-1987-06614,1987-10-20,27.93,후랜드
3220000-101-1987-06654,1987-09-26,15.59,뉴만두집
3220000-101-1987-06910,1987-08-01,55.8,두시치킨
3220000-101-1987-06947,1987-12-11,48.53,맹그르브 삼겹살
3220000-101-1987-07219,1987-12-07,489.05,와인앤다인
3220000-101-1987-07633,1987-11-05,300.44,새마을식당
3220000-101-1987-10867,1987-10-31,38.43,가야식당
3220000-101-1987-10904,1987-05-22,71.37,샌드위치 히어로(SANDWICH HERO)
3220000-101-1987-10914,1985-08-28,147.0,삼정관광호텔
3220000-101-1987-10916,1987-08-24,157.47,삼정뷔페
3220000-101-1987-12092,1987-09-05,104.48,더참치
3220000-101-1987-12136,1987-11-25,373.0,(주)탐라수산
3220000-101-1987-12180,1987-03-04,41.42,주교리3구
3220000-101-1987-12928,1987-02-26,130.5,장가계
3220000-101-1987-12930,1987-06-03,180.84,천미향
3220000-101-1987-13021,1987-09-16,63.65,연경
3220000-101-1987-15237,1987-02-07,42.0,봉화장
3220000-101-1987-15242,1987-12-18,52.0,부뚜막
3220000-101-1987-15347,1987-09-18,81.72,영동코다리
3220000-101-1987-15983,1987-07-18,125.32,대치동집 강남점
3220000-101-1987-16345,1987-06-29,137.61,촌집 보쌈
3220000-101-1987-16370,1987-05-12,110.7,나주곰탕 강남역점
3220000-101-1987-16540,1987-10-02,53.87,지리산
3220000-101-1987-16637,1987-10-23,102.9,자연석돌구이
3220000-101-1987-16665,1987-07-27,67.67,최가맛뜸
3220000-101-1987-16926,1987-07-07,155.2,바우골 화로구이
3220000-101-1987-17713,1987-12-14,140.0,풍천민물장어
3220000-101-1987-18063,1987-04-27,198.0,물고기자리
3220000-101-1987-18357,1987-04-29,224.4,전주현대옥
3220000-101-1987-22741,1987-10-02,,지리산
3220000-101-1987-22742,1987-10-02,,지리산
3220000-101-1988-00056,1988-07-05,441.4,삼원가든
3220000-101-1988-00078,1988-04-21,74.1,생마차(대치점)
3220000-101-1988-05869,1988-03-23,40.28,피자헤븐 인 눈치떡 대치삼성점
3220000-101-1988-06371,1988-02-03,114.45,펀 비어킹(fun beerking)
3220000-101-1988-06423,1988-11-23,35.7,왕소금구이
3220000-101-1988-07223,1988-09-16,1683.0,그랜드키친
3220000-101-1988-07614,1988-01-15,85.0,다부회집
3220000-101-1988-07615,1988-03-23,99.82,도모
3220000-101-1988-07661,1988-04-28,106.44,채미짱
3220000-101-1988-07662,1988-05-09,51.0,낭만식당
3220000-101-1988-07735,1988-07-28,157.45,가야
3220000-101-1988-07860,1988-09-16,1115.0,히노츠키
3220000-101-1988-10258,1988-12-07,195.45,썸
3220000-101-1988-10379,1988-07-18,48.26,전가 BY 서초집
3220000-101-1988-11062,1988-12-27,39.2,후지
3220000-101-1988-11139,1988-04-28,160.73,알펜
3220000-101-1988-11155,1988-02-15,325.2,엔유
3220000-101-1988-11627,1988-08-18,59.16,퐁퐁
3220000-101-1988-12298,1988-01-04,138.0,순정한우정육식당(학동역점)
3220000-101-1988-12957,1988-11-02,87.4,진시황
3220000-101-1988-13085,1988-03-21,946.0,중화요리연경
3220000-101-1988-15248,1988-08-02,64.34,33바베큐
3220000-101-1988-15323,1988-07-14,324.05,마포갈비
