음식점ID,인허가일자,소재지면적,음식점명
3150000-101-1991-03357,1991-03-08,30.0,멕시칸치킨
3150000-101-1991-03848,1991-04-08,41.13,준치킨
3150000-101-1991-05453,1991-10-21,82.31,진진바리횟집
3150000-101-1991-05509,1991-10-10,60.0,전라밥상
3150000-101-1991-05536,1991-11-08,68.76,장모보쌈
3150000-101-1991-05538,1991-12-09,257.11,푸주도가니
3150000-101-1991-05563,1991-06-26,30.01,초가집
3150000-101-1991-05575,1991-08-17,31.32,홍어마을
3150000-101-1991-05621,1991-03-01,123.0,방화동 아구찜
3150000-101-1991-05716,1991-10-17,27.06,토담
3150000-101-1991-05804,1991-04-25,70.94,별천지
3150000-101-1991-05982,1991-12-23,153.69,정일품삼계탕
3150000-101-1991-06062,1991-04-10,94.62,일등수산
3150000-101-1991-06064,1991-07-09,33.28,원조마산아구
3150000-101-1991-06235,1991-08-01,150.33,장수흑염소요리전문점
3150000-101-1991-06251,1991-11-09,75.11,임꺽정생고기
3150000-101-1991-06253,1991-04-12,58.42,맛있는술상
3150000-101-1991-06278,1991-11-18,130.02,장안삼계탕
3150000-101-1991-06520,1991-12-11,69.3,크라운호프
3150000-101-1991-08605,1991-12-27,72.1,청풍
3150000-101-1991-08607,1991-10-29,24.96,페리카나치킨
3150000-101-1992-01494,1992-06-24,33.0,369호프
3150000-101-1992-01518,1992-08-04,193.68,꿈의궁전
3150000-101-1992-02595,1992-11-06,15.17,맛나분식
3150000-101-1992-02629,1992-06-01,31.0,가맛골양념통닭
3150000-101-1992-02788,1992-12-23,35.99,처갓집양념치킨 가양점
3150000-101-1992-02805,1992-08-20,27.97,파노라마
3150000-101-1992-03028,1992-12-24,92.5,와치킨
3150000-101-1992-03036,1992-07-02,23.27,토크쇼
3150000-101-1992-03127,1992-07-06,39.53,한방전주콩나물국밥
3150000-101-1992-03287,1992-07-07,32.96,죽변미주구리막회
3150000-101-1992-03511,1992-12-28,160.76,팔도미락
3150000-101-1992-03903,1992-11-30,53.98,88치킨호프
3150000-101-1992-03964,1992-02-14,174.86,다원
3150000-101-1992-04171,1992-03-04,35.0,대성
3150000-101-1992-05458,1992-07-13,60.65,하(河)낙지
3150000-101-1992-05459,1992-07-16,58.46,후라이 강서구청 본점
3150000-101-1992-05462,1992-11-02,44.43,제주흑다돈
3150000-101-1992-05483,1992-10-14,47.17,해어랑
3150000-101-1992-05566,1992-11-23,43.56,공항식당
3150000-101-1992-05949,1992-11-24,68.1,옛날한우곱창전문
3150000-101-1992-06020,1992-07-29,37.52,오가네식당
3150000-101-1992-06147,1992-12-29,97.17,인생극장 목동점
3150000-101-1992-06202,1992-03-31,66.78,세상에 이런포차
3150000-101-1992-06435,1992-11-18,39.14,철길부산집 까치산점
