음식점ID,인허가일자,소재지면적,음식점명
3010000-101-2000-13056,2000-08-16,76.8,사또집
3010000-101-2000-13058,2000-08-16,10.5,엄마손김밥
3010000-101-2000-13068,2000-08-17,99.0,도누가
3010000-101-2000-13083,2000-08-22,73.92,지오 닭강정
3010000-101-2000-13092,2000-08-23,84.65,주식회사 한가람본점
3010000-101-2000-13100,2000-08-25,48.6,김밥나라
3010000-101-2000-13115,2000-09-01,126.74,우리숯불갈비
3010000-101-2000-13117,2000-09-01,103.74,두껍
3010000-101-2000-13123,2000-09-05,61.0,서문
3010000-101-2000-13125,2000-09-05,84.78,이프커피호프
3010000-101-2000-13134,2000-06-30,21.87,금빛식당
3010000-101-2000-13141,2000-09-15,207.16,신동궁감자탕 뼈숯불구이
3010000-101-2000-13145,2000-09-18,22.75,고향손칼국수
3010000-101-2000-13149,2000-09-20,55.85,숯불바베큐
3010000-101-2000-13155,2000-09-21,10.34,선옥이네
3010000-101-2000-13156,2000-09-22,491.38,중구구민회관 지하식당
3010000-101-2000-13161,2000-09-23,15.36,우리식당
3010000-101-2000-13172,2000-09-26,41.83,BBQ치킨남산타운점
3010000-101-2000-13173,2000-09-26,24.3,장수족발
3010000-101-2000-13203,2000-10-12,28.9,짱호푸
3010000-101-2000-13224,2000-10-17,30.66,장충미도 왕족발.훈제
3010000-101-2000-13242,2000-11-02,122.65,관호 광화문점
3010000-101-2000-13254,2000-11-29,25.0,오시여 호프
3010000-101-2000-13255,2000-11-30,32.08,멕시카나치킨 약수역점
3010000-101-2000-13273,2000-12-06,46.0,다마시떼
3010000-101-2000-13297,2000-11-13,18.5,전주식당
3010000-101-2000-13337,2000-12-08,90.0,신기소
3010000-101-2000-13340,2000-12-09,41.0,산골백반
3010000-101-2000-13344,2000-07-20,59.5,대박식당
3010000-101-2000-13346,2000-10-19,30.24,남도미가
3010000-101-2000-13361,2000-11-24,54.04,정다믄 김밥천국
3010000-101-2000-13362,2000-11-14,494.74,동해도 광화문
3010000-101-2000-13366,2000-11-10,62.23,대박분식
3010000-101-2000-13367,2000-10-24,97.5,오래복집
3010000-101-2000-13375,2000-11-14,30.0,군산회찜
3010000-101-2000-13379,2000-12-14,302.24,삼복
3010000-101-2000-13380,2000-12-12,58.08,타임레스토랑
3010000-101-2000-13386,2000-09-04,22.94,목포집
3010000-101-2000-13390,2000-12-11,13.67,영호프
3010000-101-2000-13400,2000-12-13,220.0,금강산
3010000-101-2000-13424,2000-11-25,35.9,갯마을낙지
3010000-101-2000-13435,2000-12-11,12.0,오뚜기
3010000-101-2000-13467,2000-11-09,657.0,남산해와달
3010000-101-2000-13489,2000-10-25,81.34,고향식당
3010000-101-2000-13534,2000-12-18,26.4,주먹고기
3010000-101-2000-13535,2000-12-15,96.0,남산골 생고기
