음식점ID,인허가일자,소재지면적,음식점명
3030000-101-2015-00050,2015-03-04,67.49,맘스터치 금호점
3030000-101-2015-00054,2015-03-09,85.42,맛닭꼬 금호역점
3030000-101-2015-00055,2015-03-09,36.0,엄마손 김치찌개
3030000-101-2015-00056,2015-03-11,130.95,석암생소금구이 성수점
3030000-101-2015-00057,2015-03-11,40.15,유쾌포차
3030000-101-2015-00059,2015-03-12,94.9,마테오견문록
3030000-101-2015-00066,2015-03-26,119.4,메가엠지씨커피 장한평자동차거리점
3030000-101-2015-00068,2015-03-27,32.7,누들보쌈 배달만족(왕십리점)
3030000-101-2015-00071,2015-03-31,70.0,라온
3030000-101-2015-00072,2015-03-31,54.58,산약초 백숙
3030000-101-2015-00078,2015-04-08,150.0,나라구한닭 정통닭갈비(왕십리점)
3030000-101-2015-00080,2015-04-08,11.0,행닭바베큐치킨
3030000-101-2015-00082,2015-04-13,61.2,부경
3030000-101-2015-00085,2015-04-16,126.31,나마스떼 왕십리점
3030000-101-2015-00086,2015-04-20,73.0,삼백집 금호점
3030000-101-2015-00094,2015-04-29,32.6,산고을칼국수
3030000-101-2015-00096,2015-04-30,83.0,탕가네
3030000-101-2015-00098,2015-05-06,34.48,개미식당
3030000-101-2015-00101,2015-05-08,21.29,`秀`숯불직화꼬치구이
3030000-101-2015-00105,2015-05-13,190.0,본앤브레드
3030000-101-2015-00110,2015-05-19,150.9,화로양미
3030000-101-2015-00113,2015-05-22,67.19,밀본
3030000-101-2015-00117,2015-05-26,78.2,에픽에스프레소
3030000-101-2015-00118,2015-05-28,33.0,미정이네코다리찜
3030000-101-2015-00122,2015-05-29,60.0,모센즈 스위트
3030000-101-2015-00126,2015-06-01,26.2,BHC 성수역점
3030000-101-2015-00130,2015-06-04,50.0,동원각
3030000-101-2015-00131,2015-06-04,80.7,일미돼지국밥
3030000-101-2015-00132,2015-06-05,50.0,바라움(Bar Raum)
3030000-101-2015-00133,2015-06-11,30.0,BHC치킨
3030000-101-2015-00134,2015-06-12,330.0,린디자인하우스
3030000-101-2015-00140,2015-06-16,26.4,서울맛집
3030000-101-2015-00143,2015-06-23,28.09,불닭발땡초동대문엽기떡볶이행당점
3030000-101-2015-00144,2015-06-24,65.0,조조반점
3030000-101-2015-00146,2015-06-26,30.28,미스타 쌀국수 성수점
3030000-101-2015-00149,2015-07-01,35.03,하이츠김밥
3030000-101-2015-00151,2015-07-01,34.5,앙골로에스프레소
3030000-101-2015-00153,2015-07-03,78.0,척스탭하우스
3030000-101-2015-00157,2015-07-10,14.8,뚱이네포차
3030000-101-2015-00160,2015-07-14,121.0,돈구어
3030000-101-2015-00162,2015-07-15,33.8,어촌
3030000-101-2015-00164,2015-07-15,53.9,섬마을
3030000-101-2015-00167,2015-07-23,96.2,반가온
3030000-101-2015-00168,2015-07-23,19.66,셰프의 돈까스
3030000-101-2015-00178,2015-08-07,132.0,두끼 한양대점
3030000-101-2015-00179,2015-08-07,88.23,고고! 치킨
3030000-101-2015-00183,2015-08-18,49.0,술래감자탕
3030000-101-2015-00185,2015-08-19,33.0,토리아에즈 한양대
3030000-101-2015-00186,2015-08-19,26.0,대구 뭉티기
3030000-101-2015-00188,2015-08-21,30.0,간도우초밥집 더성수
3030000-101-2015-00190,2015-08-25,26.4,초밥짓는정노
3030000-101-2015-00195,2015-08-26,95.7,이오로
